,Date,Buy_Conditions_Met,Buy_Signal,Sell_Conditions_Met,Sell_Signal,symbol_with_date,SYMBOL
0,2023-10-02,0,False,0,False,2023-10-02,0050.TW
1,2023-10-03,0,False,0,False,2023-10-03,0050.TW
2,2023-10-04,0,False,0,False,2023-10-04,0050.TW
3,2023-10-05,0,False,0,False,2023-10-05,0050.TW
4,2023-10-06,0,False,0,False,2023-10-06,0050.TW
5,2023-10-11,0,False,0,False,2023-10-11,0050.TW
6,2023-10-12,0,False,0,False,2023-10-12,0050.TW
7,2023-10-13,0,False,0,False,2023-10-13,0050.TW
8,2023-10-16,0,False,0,False,2023-10-16,0050.TW
9,2023-10-17,0,False,0,False,2023-10-17,0050.TW
10,2023-10-18,0,False,0,False,2023-10-18,0050.TW
11,2023-10-19,0,False,0,False,2023-10-19,0050.TW
12,2023-10-20,0,False,0,False,2023-10-20,0050.TW
13,2023-10-23,0,False,0,False,2023-10-23,0050.TW
14,2023-10-24,0,False,0,False,2023-10-24,0050.TW
15,2023-10-25,0,False,0,False,2023-10-25,0050.TW
16,2023-10-26,0,False,0,False,2023-10-26,0050.TW
17,2023-10-27,0,False,0,False,2023-10-27,0050.TW
18,2023-10-30,0,False,0,False,2023-10-30,0050.TW
19,2023-10-31,0,False,0,False,2023-10-31,0050.TW
20,2023-11-01,1,False,0,False,2023-11-01,0050.TW
21,2023-11-02,0,False,0,False,2023-11-02,0050.TW
22,2023-11-03,0,False,0,False,2023-11-03,0050.TW
23,2023-11-06,0,False,0,False,2023-11-06,0050.TW
24,2023-11-07,0,False,0,False,2023-11-07,0050.TW
25,2023-11-08,0,False,1,False,2023-11-08,0050.TW
26,2023-11-09,0,False,0,False,2023-11-09,0050.TW
27,2023-11-10,0,False,0,False,2023-11-10,0050.TW
28,2023-11-13,0,False,1,False,2023-11-13,0050.TW
29,2023-11-14,0,False,0,False,2023-11-14,0050.TW
30,2023-11-15,0,False,1,False,2023-11-15,0050.TW
31,2023-11-16,0,False,1,False,2023-11-16,0050.TW
